"","country_name_en","iso3c","iso3n","X1","iso2c","fish_supply_daily_g_protein_percap","percent_animal_protein_fish","total_renewable_water","eez_total","ifa_total","pp_eez_weighted","mean_educ","fish_relative_caloric_price","mean_gdp","mean_educ_gender_gap","mean_women_educ","mean_men_educ","mean_wage_gap_all_sectors","mean_wage_gap_fishing_sector","inland_water_min","inland_water_max","direct_w_esitimated_ssf","indirect_w_esitimated_ssf","mean_population","mean_pov_prop","mean_prod_carps_etc","mean_prod_misc_freshwater_fishes","mean_prod_salmons_etc","mean_prod_clams_etc","mean_prod_cod_etc","mean_prod_corals","mean_prod_crabs_etc","mean_prod_flounders_etc","mean_prod_freshwater_crustacea","mean_prod_herrings_etc","mean_prod_lobsters_etc","mean_prod_marine_fishes_noID","mean_prod_misc_coastal_fishes","mean_prod_misc_demersal_fishes","mean_prod_misc_pelagic_fishes","mean_prod_mussels","mean_prod_river_eels","mean_prod_sea_urchins_etc","mean_prod_shads","mean_prod_sharks_etc","mean_prod_shrimps_etc","mean_prod_squids_etc","mean_prod_tunas_etc","mean_prod_misc_marine_crustacea","mean_prod_misc_marine_molluscs","mean_prod_oysters","mean_prod_tilapias_etc","mean_prod_abalones_etc","mean_prod_brown_seaweeds","mean_prod_frogs_etc","mean_prod_green_seaweeds","mean_prod_king_crabs_etc","mean_prod_krill_etc","mean_prod_misc_plants","mean_prod_scallops_etc","mean_prod_sturgeons_etc","mean_prod_misc_aqua_inverts","mean_prod_misc_diadromous_fishes","mean_prod_pearls_etc","mean_prod_tunicates","mean_prod_sponges","mean_prod_turtles","mean_prod_red_seaweeds","mean_prod_misc_aqua_mammals","mean_prod_freshwater_molluscs","mean_pro_horeshoe_crabs_etc","mean_aquaculture_production_freshwater","mean_capture_production","mean_aquaculture_production_marine","mean_aquaculture_production_brackish","mean_total_production","mean.prop.ageing","mean.prop.underfive","mean.prop.working","age.dep.ratio","sat_model_est_pov","mean_voice_account","mean_women_parl_perc","female_particip_ssf","count_femal_particip_ssf","mean_imports_tonnes","mean_exports_tonnes","mean_imports_USD1000","mean_exports_USD1000","nb_languages_established","language_diversity","prop_pop_l1_inst","cultural_hegmony_0_low"
"1","Andorra","AND",20,1,"AD",NA,NA,0.3156,NA,NA,NA,0.48033355,NA,NA,0.992214608037096,47.8459775,48.2214,NA,NA,NA,NA,NA,NA,81629.0909090909,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,1.2673225402832,0.386363636363636,NA,NA,2491.36363636364,2.2,20349.7272727273,8.125,4,0.671,0.4137376983,0.63
"2","United Arab Emirates","ARE",784,2,"AE",6.48,12.1743486973948,0.15,56826,54706,1076.45024179073,0.5307051,5.71,73201.1023140031,NA,0,0,0.701095007750197,NA,0,0,22,30,8195472.45454545,NA,NA,0,NA,NA,NA,NA,574.818181818182,NA,NA,6698.72727272727,NA,5480.81818181818,39389.7272727273,NA,13142.3636363636,NA,NA,NA,39,1083.90909090909,204.454545454545,291.090909090909,12703.3636363636,NA,NA,0,47.7181818181818,NA,NA,NA,NA,NA,NA,NA,NA,9.72727272727273,NA,73.0909090909091,NA,NA,NA,NA,NA,NA,NA,NA,57.4454545454545,78938.5454545455,742.818181818182,NA,79738.8090909091,0.00961120787113757,0.0522352462867624,0.849941178169029,0.176552008168651,0.0109099488849853,-1.00007912245664,0.190909090909091,0.03,71,164852.727272727,27679.0909090909,455692.818181818,85624.1818181818,7,0.707,0.3294702006,1
"3","Afghanistan","AFG",4,3,"AF",0.0633333333333333,0.556531927357938,65.33,NA,NA,NA,NA,NA,1702.2547946205,NA,NA,NA,NA,NA,16.85,21.47,NA,NA,30504734.9090909,0.421666666666667,2881.81818181818,1286.36363636364,140.909090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3022.72727272727,1286.36363636364,NA,NA,4309.09090909091,0.0248528601673378,0.162565137350802,0.525554477980322,0.902752315693221,0.591019481641442,-1.18839835578745,0.276332980305897,NA,NA,9,NA,9,NA,42,0.79,0.7929526928,0
"4","Antigua & Barbuda","ATG",28,4,"AG",13.6466666666667,20.6350806451613,0.052,107939,3764,261.21,NA,14.18,21273.4828240836,NA,NA,NA,NA,NA,NA,NA,6.9,4.5,88975.8181818182,NA,NA,0,NA,NA,NA,NA,0.545454545454545,NA,NA,NA,208.909090909091,118.909090909091,1350.45454545455,4.81818181818182,91.5454545454545,NA,NA,NA,NA,41,NA,NA,28,NA,NA,NA,9.66666666666667,1534.45454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.66666666666667,3378.63636363636,NA,NA,3383.90909090909,0.0828320580140917,0.0772463391661864,0.687956191300482,0.453580929491519,NA,0.585727426138791,0.106858054226475,0.1,600,1701.27272727273,80.4545454545455,6553.27272727273,451.272727272727,2,0.515,0.4817518248,0.51
"5","Anguilla","AIA",660,5,"AI",NA,NA,NA,NA,NA,NA,NA,5.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,184.545454545455,411.636363636364,53.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760.909090909091,NA,NA,760.909090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.141,0.07630522088,0.92
"6","Albania","ALB",8,6,"AL",1.49333333333333,2.40575663194072,30.2,11105,6090,505.05,0.431016366666667,10.62,9704.42476830893,0.849640095763844,39.4436266666667,46.4239233333333,0.90842290348251,NA,2.4,5.45,6,13,2917910.36363636,0.1335,1422.45454545455,204.181818181818,467.363636363636,0.454545454545455,572.818181818182,1.13636363636364,9,107.818181818182,0,1072,188.272727272727,667.909090909091,2282.18181818182,74.6363636363636,201.454545454545,1156.81818181818,74.3636363636364,23,23.9090909090909,89.2727272727273,766.909090909091,292.454545454545,49.4545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472.272727272727,6743.68181818182,2502.81818181818,NA,9718.77272727273,0.126589541891102,0.0586422865844917,0.678878453960198,0.47301773118083,0.102658958019511,0.132094504311681,0.151948051948052,0.08,276,10839.1818181818,4319.36363636364,32554.2727272727,31625.5454545455,8,0.503,0.507786248,0
"7","Armenia","ARM",51,7,"AM",1.82666666666667,4.00409177261435,7.769,NA,NA,NA,0.9103753,8.6,8630.88927280381,1.00404905030805,91.205155,90.83735,0.633038796522867,0.823252614696664,1.31,1.76,NA,NA,2908764.27272727,0.311545454545455,2003,266.454545454545,4944.90909090909,NA,NA,NA,NA,NA,1921.18181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8393.81818181818,2336.36363636364,NA,NA,10730.1818181818,0.11224660730525,0.0708216103328444,0.686509545651198,0.456643984536931,0.121968248274391,-0.616637971590866,0.0936849410131855,NA,NA,4394,3019.90909090909,7457.72727272727,14287.8181818182,7,0.053,0.6190688096,0
"8","Angola","AGO",24,8,"AO",6.73333333333333,26.6842800528402,148.4,490684,45792,1366.52,0.1586354,2.38,6854.41236611884,0.618998582495965,12.2926,19.85885,0.748440945307956,NA,29.98,48.73,55,380,24330403.7272727,0.366,NA,16671.6363636364,NA,NA,5024.72727272727,NA,922.272727272727,6586.36363636364,NA,102410.909090909,619.545454545455,53812.5454545455,78786.3636363636,5060.36363636364,73437.1818181818,NA,NA,NA,9680.42857142857,3007.27272727273,1649.36363636364,1389.18181818182,5086.90909090909,11.125,NA,NA,321.545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328.636363636364,360625.909090909,NA,NA,360954.545454545,0.0227602867195962,0.184667787605667,0.508753169930469,0.96558971836317,0.380246835251663,-1.10596740787679,0.328512396694215,0.05,900,96686.3636363636,10739.5454545455,187701.090909091,49976.2727272727,41,0.748,0.7149421754,0
"9","Antarctica","ATA",10,9,"AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Argentina","ARG",32,10,"AR",1.89,2.75510204081633,876.2,1082467,198340,1190.95,0.52246957,NA,18410.4166719902,1.05017554116018,53.423753,50.87126,0.748683304915363,NA,97.73,250.48,24,29,41355918.5454545,0.303,301.405909090909,18721.93,1513.45909090909,122.272727272727,386090.454545455,NA,58.9090909090909,6660.54545454545,1.57818181818182,20969.9090909091,NA,1228.45454545455,73385.2727272727,21169.7272727273,20279.1818181818,111.239090909091,NA,NA,NA,34878.7272727273,89059.7272727273,150936.636363636,149.454545454545,0.727272727272727,11.7272727272727,56.9581818181818,34.2672727272727,157,0,14.8090909090909,0,2307,0,0,50162,49.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3017.615,875248.090909091,140.379090909091,NA,878406.085,0.107634512258762,0.0856958174719747,0.640090696266362,0.562278604942991,0.0943046156004506,0.387259832837365,0.375719844357977,0.24,2178,41736.9090909091,494878.090909091,143078.454545455,1378575.45454545,28,0.165,0.8956952884,0.09
