region_index,region,country,iso3,mu_j,mu_i,sigma_i,sd,region_intercept,nation_intercept
1,Asia,United Arab Emirates,ARE,5.914667410624711,5.903130192332491,0.0792088176299393,0.14565573174089033,139.83789618868295,141.4605791470715
4,Americas,Antigua & Barbuda,ATG,5.9071934772277235,5.9059936410699905,0.08489578078017479,0.014133048152767488,140.23888867270063,140.40725334686408
4,Americas,Anguilla,AIA,5.949879330312157,5.9059936410699905,0.08489578078017479,0.5169360460421752,140.23888867270063,146.53041317217247
0,Europe,Albania,ALB,5.96292302522849,5.821438315613429,0.15577047708740463,0.9082896339572253,128.86843376959357,148.4542307461844
2,Africa,Angola,AGO,5.922101932778405,5.880567185627522,0.07258914294338206,0.5721895240350074,136.7180615790478,142.51619007588283
4,Americas,Argentina,ARG,5.981323143872906,5.9059936410699905,0.08489578078017479,0.8873173921089254,140.23888867270063,151.21109170877713
3,Oceania,American Samoa,ASM,5.8069639252356,5.818931458947211,0.09453682695417927,-0.12659123536494082,128.5457836650858,127.01657633699719
3,Oceania,Australia,AUS,5.938191551226229,5.818931458947211,0.09453682695417927,1.2615199401268427,128.5457836650858,144.8277675290474
0,Europe,Bosnia & Herzegovina,BIH,6.014458782586328,5.821438315613429,0.15577047708740463,1.2391338242136363,128.86843376959357,156.30550501469554
4,Americas,Barbados,BRB,5.81240614533421,5.9059936410699905,0.08489578078017479,-1.1023810002774093,140.23888867270063,127.70971289167768
1,Asia,Bangladesh,BGD,5.984476695029697,5.903130192332491,0.0792088176299393,1.0269879684008598,139.83789618868295,151.68869630140256
0,Europe,Belgium,BEL,5.631761522624988,5.821438315613429,0.15577047708740463,-1.2176684345777002,128.86843376959357,106.60337777445079
0,Europe,Bulgaria,BGR,5.971921928517414,5.821438315613429,0.15577047708740463,0.9660599088975423,128.86843376959357,149.79618501386577
1,Asia,Bahrain,BHR,5.864916987433326,5.903130192332491,0.0792088176299393,-0.4824362494299021,139.83789618868295,134.59505290384683
2,Africa,Benin,BEN,5.900174716286578,5.880567185627522,0.07258914294338206,0.2701165747934151,136.7180615790478,139.42521876569478
4,Americas,St. Barth<U+00E9>lemy,BLM,5.8648441645581855,5.9059936410699905,0.08489578078017479,-0.4847057902483465,140.23888867270063,134.5852516619963
4,Americas,Bermuda,BMU,5.863456798902785,5.9059936410699905,0.08489578078017479,-0.5010477761827572,140.23888867270063,134.39866216997214
