region_index,region,country,iso3,mu_j,mu_i,sigma_i,sd,region_intercept,nation_intercept
2,Asia,United Arab Emirates,ARE,4.386217271758217,4.1747337723911,1.191792169334299,0.17744998231129971,3.888347088733718,4.804090073714972
2,Asia,Afghanistan,AFG,1.0717760376362389,4.1747337723911,1.191792169334299,-2.603606412759101,3.888347088733718,0.1746496030876806
4,Americas,Antigua & Barbuda,ATG,5.131968283672855,4.047946739204958,0.6144655534998086,1.7641697541768453,3.4253276152294267,10.12713713406815
3,Europe,Albania,ALB,3.5708511543940356,4.173525229689377,0.5965115299376731,-1.0103309744210842,3.883650693706448,2.1257008003545734
2,Asia,Armenia,ARM,3.991726341113855,4.1747337723911,1.191792169334299,-0.1535564975053227,3.888347088733718,3.238067570883197
1,Africa,Angola,AGO,4.902830412134832,4.0618072392996165,0.6924866330205004,1.2144973386227336,3.4731349201754567,8.053290729320155
4,Americas,Argentina,ARG,3.6410424199351965,4.047946739204958,0.6144655534998086,-0.6622085110420896,3.4253276152294267,2.2802675941880164
3,Europe,Austria,AUT,3.90316958531019,4.173525229689377,0.5965115299376731,-0.45322786033563284,3.883650693706448,2.9636451115692934
0,Oceania,Australia,AUS,4.188612395581536,4.614140973138742,0.6256728556790789,-0.6801135348845441,6.033886648863668,3.9426882105430696
2,Asia,Azerbaijan,AZE,2.9742417027342274,4.1747337723911,1.191792169334299,-1.0072998468578909,3.888347088733718,1.1705714925795827
3,Europe,Bosnia & Herzegovina,BIH,3.3783233337649334,4.173525229689377,0.5965115299376731,-1.3330872179579334,3.883650693706448,1.7534297302165867
4,Americas,Barbados,BRB,4.441154354410025,4.047946739204958,0.6144655534998086,0.6399180767180129,3.4253276152294267,5.075396938876915
2,Asia,Bangladesh,BGD,5.1671601718811795,4.1747337723911,1.191792169334299,0.8327176709378954,3.888347088733718,10.489875500060824
3,Europe,Belgium,BEL,3.94576522640728,4.173525229689377,0.5965115299376731,-0.3818199512520645,3.883650693706448,3.092610661337339
1,Africa,Burkina Faso,BFA,4.190329296206463,4.0618072392996165,0.6924866330205004,0.18559500036304935,3.4731349201754567,3.9494632287478835
3,Europe,Bulgaria,BGR,3.5955227066571323,4.173525229689377,0.5965115299376731,-0.9689712503841079,3.883650693706448,2.1787974336932265
1,Africa,Benin,BEN,4.348424979384245,4.0618072392996165,0.6924866330205004,0.41389642256985454,3.4731349201754567,4.625920422341601
4,Americas,Bolivia,BOL,3.0049821565008283,4.047946739204958,0.6144655534998086,-1.697352401226922,3.4253276152294267,1.207114183257416
4,Americas,Brazil,BRA,3.694836771763245,4.047946739204958,0.6144655534998086,-0.5746619406580344,3.4253276152294267,2.406292433932491
