region_index,region,country,iso3,mu_j,mu_i,sigma_i,sd,region_intercept,nation_intercept
1,Asia,United Arab Emirates,ARE,3.480926849688527,3.1157832181213427,1.4541363972377215,0.251106864707335,6.313969192966694e-07,9.096667544278911e-07
3,Americas,Antigua & Barbuda,ATG,3.110619594132011,3.5927755284919254,1.552216351305737,-0.31062418196685077,1.017320009999657e-06,6.281450260199024e-07
4,Europe,Albania,ALB,3.669510064417616,3.439922795716769,1.3012132330117696,0.1764409267260889,8.731211098294657e-07,1.0984567764362502e-06
1,Asia,Armenia,ARM,3.8788672559420196,3.1157832181213427,1.4541363972377215,0.5247678548382613,6.313969192966694e-07,1.3542712080351845e-06
2,Africa,Angola,AGO,3.764887810445308,3.3512251453210844,1.7316991581498549,0.238876748988075,7.990125271260214e-07,1.2083840972715128e-06
3,Americas,Argentina,ARG,3.823405394707884,3.5927755284919254,1.552216351305737,0.14858100549060108,1.017320009999657e-06,1.2812057087847333e-06
4,Europe,Austria,AUT,2.692362258523479,3.439922795716769,1.3012132330117696,-0.5745104016987261,8.731211098294657e-07,4.1344055243775575e-07
0,Oceania,Australia,AUS,5.418727460701212,6.481927974823202,1.418558380624139,-0.7494936610604649,1.8289446045738462e-05,6.316237259650476e-06
3,Americas,Aruba,ABW,2.3113794744729805,3.5927755284919254,1.552216351305737,-0.825526707627467,1.017320009999657e-06,2.8245830684379977e-07
1,Asia,Azerbaijan,AZE,2.648315664054291,3.1157832181213427,1.4541363972377215,-0.3214743506558625,6.313969192966694e-07,3.9562513846236225e-07
4,Europe,Bosnia & Herzegovina,BIH,3.2634305223113067,3.439922795716769,1.3012132330117696,-0.13563670344556508,8.731211098294657e-07,7.318547030363827e-07
3,Americas,Barbados,BRB,2.7398329655168974,3.5927755284919254,1.552216351305737,-0.5494997925112216,1.017320009999657e-06,4.335401648224285e-07
1,Asia,Bangladesh,BGD,3.306898657018298,3.1157832181213427,1.4541363972377215,0.13142882556271762,6.313969192966694e-07,7.643686017530754e-07
4,Europe,Belgium,BEL,4.079034209906573,3.439922795716769,1.3012132330117696,0.49116578126901295,8.731211098294657e-07,1.6543867721660012e-06
2,Africa,Burkina Faso,BFA,2.1347817124673796,3.3512251453210844,1.7316991581498549,-0.7024565595754816,7.990125271260214e-07,2.367330633283361e-07
4,Europe,Bulgaria,BGR,3.1345819750756028,3.439922795716769,1.3012132330117696,-0.23465855779412018,8.731211098294657e-07,6.433786646298037e-07
1,Asia,Bahrain,BHR,3.8505402348545354,3.1157832181213427,1.4541363972377215,0.5052875494547401,6.313969192966694e-07,1.3164469918604594e-06
2,Africa,Burundi,BDI,2.297922482500069,3.3512251453210844,1.7316991581498549,-0.6082480654124488,7.990125271260214e-07,2.786827286155251e-07
2,Africa,Benin,BEN,2.1642176548735206,3.3512251453210844,1.7316991581498549,-0.6854582592254426,7.990125271260214e-07,2.438050995336488e-07
3,Americas,Bermuda,BMU,2.5221072944900067,3.5927755284919254,1.552216351305737,-0.689767398147342,1.017320009999657e-06,3.487163263893879e-07
1,Asia,Brunei,BRN,3.05161065338852,3.1157832181213427,1.4541363972377215,-0.04413104909190437,6.313969192966694e-07,5.921512737450107e-07
3,Americas,Bolivia,BOL,2.1601778227913195,3.5927755284919254,1.552216351305737,-0.9229368731333703,1.017320009999657e-06,2.428221546736633e-07
3,Americas,Brazil,BRA,2.487916272624006,3.5927755284919254,1.552216351305737,-0.7117946251104126,1.017320009999657e-06,3.3699488474938274e-07
3,Americas,Bahamas,BHS,5.598672495268109,3.5927755284919254,1.552216351305737,1.2922792399969287,1.017320009999657e-06,7.561493284674576e-06
1,Asia,Bhutan,BTN,1.8708023177567017,3.1157832181213427,1.4541363972377215,-0.8561651456696963,6.313969192966694e-07,1.8180847477566574e-07
2,Africa,Botswana,BWA,1.9049994073776924,3.3512251453210844,1.7316991581498549,-0.8351483750148252,7.990125271260214e-07,1.8813332484759566e-07
4,Europe,Belarus,BLR,4.806542050172871,3.439922795716769,1.3012132330117696,1.0502654136808494,8.731211098294657e-07,3.424441011313651e-06
3,Americas,Belize,BLZ,4.9240694935098235,3.5927755284919254,1.552216351305737,0.8576729422403022,1.017320009999657e-06,3.851511595130541e-06
3,Americas,Canada,CAN,3.8118381288894456,3.5927755284919254,1.552216351305737,0.14112890913257228,1.017320009999657e-06,1.2664710459570921e-06
2,Africa,Congo - Kinshasa,COD,2.4897289303677175,3.3512251453210844,1.7316991581498549,-0.49748607366292674,7.990125271260214e-07,3.37606295108265e-07
2,Africa,Congo - Brazzaville,COG,3.0129442629437713,3.3512251453210844,1.7316991581498549,-0.19534621864616022,7.990125271260214e-07,5.696919304192236e-07
4,Europe,Switzerland,CHE,2.6004493412985266,3.439922795716769,1.3012132330117696,-0.645146723934869,8.731211098294657e-07,3.771340973630677e-07
2,Africa,C<U+00F4>te d<U+2019>Ivoire,CIV,4.7144132424106076,3.3512251453210844,1.7316991581498549,0.7871968353590653,7.990125271260214e-07,3.1230479820015333e-06
