region_index,region,country,iso3,mu_j,mu_i,sigma_i,sd,region_intercept,nation_intercept
3,Asia,United Arab Emirates,ARE,4.602302203835427,4.508653645034162,0.8497423241586679,0.11020818445637205,11.455094396143624,12.579683793177644
3,Asia,Afghanistan,AFG,2.539899238575179,4.508653645034162,0.8497423241586679,-2.31688401352522,11.455094396143624,1.5994825169387459
1,Americas,Antigua & Barbuda,ATG,4.639153881362983,4.387570049259812,0.3759951499729491,0.669114567358836,10.14875421689583,13.051914040795408
2,Europe,Albania,ALB,4.097765123590943,4.406278987619537,0.3280978989155099,-0.9403103922589915,10.340413918306279,7.595424564670358
3,Asia,Armenia,ARM,4.413062887780707,4.508653645034162,0.8497423241586679,-0.11249381669684369,11.455094396143624,10.410800732572705
0,Africa,Angola,AGO,4.828168652671665,4.517167069821573,0.417436067203349,0.7450280588682126,11.553032784736324,15.767479574155216
1,Americas,Argentina,ARG,4.083670211373821,4.387570049259812,0.3759951499729491,-0.8082546753804011,10.14875421689583,7.489118668264877
2,Europe,Austria,AUT,4.282349025288491,4.406278987619537,0.3280978989155099,-0.37772251130129697,10.340413918306279,9.135152984231045
4,Oceania,Australia,AUS,4.518434395361956,4.692599114022192,0.374876847600235,-0.4645918246889548,13.768453891030944,11.567683519917841
3,Asia,Azerbaijan,AZE,3.834920743406531,4.508653645034162,0.8497423241586679,-0.7928672992659224,11.455094396143624,5.839829813257641
2,Europe,Bosnia & Herzegovina,BIH,4.164601867836563,4.406278987619537,0.3280978989155099,-0.7366006322558297,10.340413918306279,8.120427327108626
1,Americas,Barbados,BRB,4.496234396759708,4.387570049259812,0.3759951499729491,0.2890046520752022,10.14875421689583,11.31371049295148
3,Asia,Bangladesh,BGD,5.477869779253495,4.508653645034162,0.8497423241586679,1.1406000462304338,11.455094396143624,30.19422529492528
2,Europe,Belgium,BEL,4.361724670420557,4.406278987619537,0.3280978989155099,-0.13579580163801394,10.340413918306279,9.889816406013315
0,Africa,Burkina Faso,BFA,4.624187025197302,4.517167069821573,0.417436067203349,0.2563744817085857,11.553032784736324,12.858022513365988
2,Europe,Bulgaria,BGR,4.280197646644972,4.406278987619537,0.3280978989155099,-0.3842796354116031,10.340413918306279,9.115520936751453
0,Africa,Benin,BEN,4.674619221396184,4.517167069821573,0.417436067203349,0.37718866179790317,11.553032784736324,13.523110799105265
1,Americas,Bolivia,BOL,3.98737606979799,4.387570049259812,0.3759951499729491,-1.064359419238824,10.14875421689583,6.801593896376876
1,Americas,Brazil,BRA,4.173004944619352,4.387570049259812,0.3759951499729491,-0.5706592349818795,10.14875421689583,8.188951404774103
1,Americas,Bahamas,BHS,4.5119728621974815,4.387570049259812,0.3759951499729491,0.33086281284909985,10.14875421689583,11.493179513492386
0,Africa,Botswana,BWA,4.135005910014264,4.517167069821573,0.417436067203349,-0.9154962635778748,11.553032784736324,7.8836171005053615
2,Europe,Belarus,BLR,4.666636552930109,4.406278987619537,0.3280978989155099,0.7935362163889336,10.340413918306279,13.415590011328648
