region_index,region,country,iso3,mu_j,mu_i,sigma_i,sd,region_intercept,nation_intercept
1,Asia,United Arab Emirates,ARE,5.373264390219599,4.119341313521314,1.0484449438780228,1.195983712850226,5745.878751496064,20133.91961214456
3,Americas,Antigua & Barbuda,ATG,2.738542129785991,3.2404493380074335,1.516428999331455,-0.3309796953518544,2385.9345285078334,1444.3850719177542
4,Europe,Albania,ALB,3.6666021200521532,4.387962881157737,1.0560307074189628,-0.6830869178687582,7516.52873194815,3653.712103671161
0,Africa,Angola,AGO,4.617414209544651,4.20847422071785,0.9516017134320008,0.42973860077651377,6281.543723745924,9455.113960589855
3,Americas,Argentina,ARG,4.607723799248299,3.2404493380074335,1.516428999331455,0.90164093527864,2385.9345285078334,9363.932533158915
2,Oceania,Australia,AUS,2.3515529139451052,3.6248013368064305,1.1278596801780307,-1.1289067649446827,3504.132135422594,980.879617889151
3,Americas,Barbados,BRB,1.0599309041381848,3.2404493380074335,1.516428999331455,-1.4379297908643065,2385.9345285078334,269.56990071085914
1,Asia,Bangladesh,BGD,2.930605753789577,4.119341313521314,1.0484449438780228,-1.1338082811814638,5745.878751496064,1750.2301598945367
4,Europe,Belgium,BEL,4.853606578939459,4.387962881157737,1.0560307074189628,0.4409376493604042,7516.52873194815,11974.125630357017
4,Europe,Bulgaria,BGR,3.853631540127078,4.387962881157737,1.0560307074189628,-0.5059808746817734,7516.52873194815,4405.1446016809505
1,Asia,Bahrain,BHR,3.45952654785709,4.119341313521314,1.0484449438780228,-0.6293270519515118,5745.878751496064,2970.3152539561256
0,Africa,Benin,BEN,3.6628354520613637,4.20847422071785,0.9516017134320008,-0.5733898551828074,6281.543723745924,3639.975669776429
1,Asia,Brunei,BRN,4.0586821551341625,4.119341313521314,1.0484449438780228,-0.05785631257162969,5745.878751496064,5407.699117152906
3,Americas,Brazil,BRA,1.9929820211601483,3.2404493380074335,1.516428999331455,-0.8226348331489661,2385.9345285078334,685.3151774990118
3,Americas,Bahamas,BHS,1.613805143283511,3.2404493380074335,1.516428999331455,-1.0726807489444332,2385.9345285078334,469.0465267591864
3,Americas,Belize,BLZ,5.630531742055701,3.2404493380074335,1.516428999331455,1.5761254929192057,2385.9345285078334,26041.027823066182
3,Americas,Canada,CAN,3.3152024833131435,3.2404493380074335,1.516428999331455,0.0492955129047692,2385.9345285078334,2571.1262403998194
0,Africa,Congo - Kinshasa,COD,3.3767147007249285,4.20847422071785,0.9516017134320008,-0.8740626548402669,6281.543723745924,2734.24745968968
