region_index,region,country,iso3,mu_j,mu_i,sigma_i,sd,region_intercept,nation_intercept
0,Asia,United Arab Emirates,ARE,3.454536609086822,3.4852509219427166,0.4352258301187247,-0.07057097885830016,3.0151048390312183,2.9239056946625763
1,Americas,Antigua & Barbuda,ATG,4.4467508275260945,4.475942056202653,0.4499499875530991,-0.06487660736542115,8.119964127074576,7.886358601795182
4,Europe,Albania,ALB,1.6370238235731451,1.6450825971074847,0.4296395190334781,-0.01875705836480941,0.47877059421313073,0.4749277953395468
3,Africa,Angola,AGO,3.4946689029505773,3.5493342495803226,0.4413715367504235,-0.12385335726951555,3.2146482082410035,3.0436351773515935
1,Americas,Argentina,ARG,4.43287503937186,4.475942056202653,0.4499499875530991,-0.09571511950694521,8.119964127074576,7.7776848710032915
2,Oceania,Australia,AUS,5.198934135657302,5.210359764483101,0.43342625612179336,-0.026361182933478843,16.92418128643326,16.731912361202067
1,Americas,Barbados,BRB,4.549245520653702,4.475942056202653,0.4499499875530991,0.1629146938078283,8.119964127074576,8.737544502009404
0,Asia,Bangladesh,BGD,3.6999320396966064,3.4852509219427166,0.4352258301187247,0.49326373321024464,3.0151048390312183,3.7371217134803514
4,Europe,Belgium,BEL,1.5615455906531255,1.6450825971074847,0.4296395190334781,-0.1944351083957198,0.47877059421313073,0.4404005042142283
4,Europe,Bulgaria,BGR,1.5756427334822434,1.6450825971074847,0.4296395190334781,-0.1616235484609378,0.47877059421313073,0.44665285965440155
0,Asia,Bahrain,BHR,3.516833576621236,3.4852509219427166,0.4352258301187247,0.07256613117356621,3.0151048390312183,3.1118495397391466
3,Africa,Benin,BEN,3.518615260813922,3.5493342495803226,0.4413715367504235,-0.0695989347037818,3.2146482082410035,3.1173988149340977
0,Asia,Brunei,BRN,3.425076188839257,3.4852509219427166,0.4352258301187247,-0.1382609416519343,3.0151048390312183,2.8390226878502474
1,Americas,Brazil,BRA,4.88693709576997,4.475942056202653,0.4499499875530991,0.9134238269510235,8.119964127074576,12.247487034222756
1,Americas,Bahamas,BHS,4.699783153091284,4.475942056202653,0.4499499875530991,0.4974799490625942,8.119964127074576,10.157037685050069
1,Americas,Belize,BLZ,4.413152839395437,4.475942056202653,0.4499499875530991,-0.1395471019983223,8.119964127074576,7.625794543634549
1,Americas,Canada,CAN,4.469872044264195,4.475942056202653,0.4499499875530991,-0.013490414726908142,8.119964127074576,8.070825135892209
3,Africa,Congo - Kinshasa,COD,3.559386191915035,3.5493342495803226,0.4413715367504235,0.022774332954769196,3.2146482082410035,3.2471246187041394
3,Africa,Congo - Brazzaville,COG,3.48027181560355,3.5493342495803226,0.4413715367504235,-0.15647233277714573,3.2146482082410035,3.000129623946284
3,Africa,C<U+00F4>te d<U+2019>Ivoire,CIV,3.4839813104010133,3.5493342495803226,0.4413715367504235,-0.1480678606066606,3.2146482082410035,3.011279256144108
1,Americas,Chile,CHL,4.4370640679238935,4.475942056202653,0.4499499875530991,-0.08640513246857576,8.119964127074576,7.810334151637026
