region_index,region,country,iso3,mu_j,mu_i,sigma_i,sd,region_intercept,nation_intercept
1,Western Asia,United Arab Emirates,ARE,4.950979589161367,5.2010424049778505,0.3214248710146995,-0.7779821612032242,0.16518956541951124,0.12864168191785275
12,Southern Europe,Albania,ALB,4.871546793519952,5.284107632576353,0.34035063424200096,-1.2121641552842106,0.17949707694564115,0.118818614731601
1,Western Asia,Armenia,ARM,5.091673344363999,5.2010424049778505,0.3214248710146995,-0.34026321693335937,0.16518956541951124,0.14807584891566222
0,Middle Africa,Angola,AGO,5.810646201736867,5.440080328791285,0.35121825777765475,1.0550871566027076,0.20979515863198278,0.3038996330738264
13,Western Europe,Austria,AUT,5.494777565560773,5.290291584510788,0.32785666607023944,0.623705424388646,0.18061051742476858,0.2215900063936805
8,Australia and New Zealand,Australia,AUS,5.301141273259107,5.208981041932471,0.35196247000649455,0.26184675691398374,0.1665061644945572,0.1825807542242309
1,Western Asia,Azerbaijan,AZE,5.181124017155631,5.2010424049778505,0.3214248710146995,-0.061969031081320444,0.16518956541951124,0.16193180793655945
12,Southern Europe,Bosnia & Herzegovina,BIH,5.760534938192336,5.284107632576353,0.34035063424200096,1.399813185825378,0.17949707694564115,0.28904611099075167
7,Southern Asia,Bangladesh,BGD,4.739392872763304,5.045202159498414,0.34166511579775516,-0.8950556337045855,0.14135203067028548,0.10410959720654281
13,Western Europe,Belgium,BEL,5.279181454920366,5.290291584510788,0.32785666607023944,-0.03388715478501856,0.18061051742476858,0.17861501683204997
18,Western Africa,Burkina Faso,BFA,4.904752236649701,5.408008967174556,0.4326699060906409,-1.163142440554733,0.20317349271716714,0.12283027537198762
4,Eastern Europe,Bulgaria,BGR,5.3440780040990035,5.278054132235885,0.35151482196324535,0.18782670811537386,0.17841377352617088,0.1905909092968516
15,Eastern Africa,Burundi,BDI,4.945682383194558,5.0973471067683995,0.3844252429348484,-0.3945233211429482,0.14891838401200652,0.12796204211806436
18,Western Africa,Benin,BEN,5.353347664268345,5.408008967174556,0.4326699060906409,-0.12633488517863412,0.20317349271716714,0.19236583603179497
17,South-eastern Asia,Brunei,BRN,5.370156797967052,5.312614101536721,0.36701134480482533,0.15678724171573452,0.18468753411737945,0.19562666819277127
14,South America,Bolivia,BOL,5.293617737145126,5.377973513888093,0.35488856833980953,-0.23769651735357025,0.19716181838448713,0.18121225575508923
14,South America,Brazil,BRA,5.074574874535761,5.377973513888093,0.35488856833980953,-0.8549124046785982,0.19716181838448713,0.14556550119273953
16,Caribbean,Bahamas,BHS,4.820943641941927,5.045727140514279,0.377857560251904,-0.5948895092174331,0.14142625728501834,0.11295561260482773
7,Southern Asia,Bhutan,BTN,5.011456153810801,5.045202159498414,0.34166511579775516,-0.09876924546077584,0.14135203067028548,0.13666155181757078
5,Southern Africa,Botswana,BWA,5.082991139598946,5.275288914867682,0.3513167658848542,-0.5473629326639137,0.17792110214654872,0.14679578898679663
4,Eastern Europe,Belarus,BLR,4.857503996712931,5.278054132235885,0.35151482196324535,-1.1963937485598466,0.17841377352617088,0.11716172994430389
10,Central America,Belize,BLZ,5.020576081299453,5.266160215768708,0.3530022377606066,-0.6957013531336355,0.17630430479766476,0.13791359585804683
9,Northern America,Canada,CAN,5.229686744246772,5.218460739161324,0.34639763481277985,0.03240785720582546,0.16809209772754533,0.16998973196849315
0,Middle Africa,Congo - Kinshasa,COD,5.407903652699332,5.440080328791285,0.35121825777765475,-0.09161447441699598,0.20979515863198278,0.20315209673407536
0,Middle Africa,Central African Republic,CAF,5.104207706982423,5.440080328791285,0.35121825777765475,-0.9563074082028271,0.20979515863198278,0.14994356617061083
0,Middle Africa,Congo - Brazzaville,COG,5.608178918251045,5.440080328791285,0.35121825777765475,0.478615748860578,0.20979515863198278,0.24819884246603718
13,Western Europe,Switzerland,CHE,5.310068449960174,5.290291584510788,0.32785666607023944,0.06032168168619518,0.18061051742476858,0.18421798191670646
18,Western Africa,C<U+00F4>te d<U+2019>Ivoire,CIV,5.297099080589608,5.408008967174556,0.4326699060906409,-0.2563383425185881,0.20317349271716714,0.18184421725296307
14,South America,Chile,CHL,5.6648507575646505,5.377973513888093,0.35488856833980953,0.8083586490784613,0.19716181838448713,0.26267093429102534
0,Middle Africa,Cameroon,CMR,5.4687004094695615,5.440080328791285,0.35121825777765475,0.08148802075202784,0.20979515863198278,0.21588626115332438
6,Eastern Asia,China,CHN,5.280173701103813,5.324631392630959,0.3515268657648022,-0.12647025265173248,0.18692036740895313,0.1787923348578268
14,South America,Colombia,COL,5.41352290544915,5.377973513888093,0.35488856833980953,0.10017057389974322,0.19716181838448713,0.2042968730938466
10,Central America,Costa Rica,CRI,4.675226578910547,5.266160215768708,0.3530022377606066,-1.6740223535322474,0.17630430479766476,0.09763908454920515
16,Caribbean,Cuba,CUB,5.389673581705143,5.045727140514279,0.377857560251904,0.9102542263851159,0.14142625728501834,0.1994821727123277
1,Western Asia,Cyprus,CYP,5.437137667206342,5.2010424049778505,0.3214248710146995,0.7345270497680122,0.16518956541951124,0.20917870992276946
4,Eastern Europe,Czechia,CZE,5.12407749175152,5.278054132235885,0.35151482196324535,-0.43803740514949074,0.17841377352617088,0.1529527090665295
