region_index,region,country,iso3,mu_j,mu_i,sigma_i,sd,region_intercept,nation_intercept
18,Western Asia,United Arab Emirates,ARE,3.697897723703271,3.681751207309796,0.3262011515349943,0.0494986492766641,2.018890768003511,2.051753415559181
16,Southern Asia,Afghanistan,AFG,3.3885079449072255,3.967714349654286,0.4222730061608677,-1.3716396650900482,2.6872312224,1.505770870583327
3,Southern Europe,Albania,ALB,3.884391688225638,4.053189007501571,0.3401004144895138,-0.49631612336990233,2.927023498987522,2.472398462046591
18,Western Asia,Armenia,ARM,3.761414273320664,3.681751207309796,0.3262011515349943,0.2442145456446122,2.018890768003511,2.1863014966285186
4,Middle Africa,Angola,AGO,5.287652812582377,5.130116996308519,0.32914595927270185,0.47861993087187515,8.592708758139976,10.058819794212186
2,South America,Argentina,ARG,3.950718601552086,4.047043671104916,0.35165115757123455,-0.2739222308213708,2.909091111656523,2.641945638715276
0,Western Europe,Austria,AUT,4.175088775994874,4.22473332092951,0.32261584829592044,-0.15388129627500277,3.4747771569283894,3.3064853733680737
15,Australia and New Zealand,Australia,AUS,4.356268366297902,4.407008810004852,0.3342363835192329,-0.15181005482615237,4.169540502671005,3.963253959625879
18,Western Asia,Azerbaijan,AZE,3.474686418102837,3.681751207309796,0.3262011515349943,-0.6347763894535048,2.018890768003511,1.6412915241442636
3,Southern Europe,Bosnia & Herzegovina,BIH,3.828753516124293,4.053189007501571,0.3401004144895138,-0.6599094908900726,2.927023498987522,2.338595521418264
16,Southern Asia,Bangladesh,BGD,4.560382185490102,3.967714349654286,0.4222730061608677,1.403518167604669,2.6872312224,4.860684220035272
0,Western Europe,Belgium,BEL,4.183650261194995,4.22473332092951,0.32261584829592044,-0.12734358820721034,3.4747771569283894,3.3349153266114273
13,Western Africa,Burkina Faso,BFA,4.608834721599516,4.5726714909830255,0.33306958214469806,0.10857560268226427,4.9207872088860105,5.10199556334489
5,Eastern Europe,Bulgaria,BGR,4.0117657192654335,4.205052929550059,0.3461842830116508,-0.5583361803809009,3.4070607112353444,2.8082534660966623
13,Western Africa,Benin,BEN,4.733264760831199,4.5726714909830255,0.33306958214469806,0.4821613214094278,4.9207872088860105,5.778024194359746
2,South America,Bolivia,BOL,3.803517869043308,4.047043671104916,0.35165115757123455,-0.6925209737501768,2.909091111656523,2.2803179786714223
2,South America,Brazil,BRA,3.947133844010083,4.047043671104916,0.35165115757123455,-0.2841163037394352,2.909091111656523,2.632491859039131
6,Caribbean,Bahamas,BHS,4.173485953293495,4.2187011128367615,0.32734618779809266,-0.13812642770459,3.453879670402832,3.301189908529179
19,Southern Africa,Botswana,BWA,3.5604262084290923,3.6019910530399777,0.3343421195948166,-0.12431830204718779,1.8641181166706282,1.7882245157434
5,Eastern Europe,Belarus,BLR,4.578639548703214,4.205052929550059,0.3461842830116508,1.0791553443822346,3.4070607112353444,4.950242559165094
