region_index,region,country,iso3,mu_j,mu_i,sigma_i,sd,region_intercept,nation_intercept
9,Western Asia,United Arab Emirates,ARE,1.587537944484272,2.4696874529736936,1.5134676080970593,-0.5828664609469785,3.3043906191733766e-07,1.3676617998762653e-07
21,Southern Europe,Albania,ALB,4.197517454994101,3.6598484737444146,1.3156154892358252,0.4086824650886338,1.086354942241283e-06,1.8598521286500806e-06
9,Western Asia,Armenia,ARM,4.2440038471991866,2.4696874529736936,1.5134676080970593,1.1723517468975824,3.3043906191733766e-07,1.948351004384069e-06
2,Middle Africa,Angola,AGO,3.006137144910425,1.9769449233566492,1.382404075884763,0.7444944929687612,2.0188126573334984e-07,5.650261158024769e-07
4,South America,Argentina,ARG,2.296685651836844,2.7462316713391983,1.820798243713908,-0.2468950203869973,4.357054663451536e-07,2.779442237766098e-07
10,Western Europe,Austria,AUT,3.1106853141877533,3.194548257670514,1.4466068062446737,-0.057972175383624196,6.821728459194004e-07,6.272970058490989e-07
17,Australia and New Zealand,Australia,AUS,2.4241373227570793,3.030424026420495,1.3980245214906386,-0.4336738693374025,5.789168364876393e-07,3.1572517334945196e-07
9,Western Asia,Azerbaijan,AZE,2.052274749917658,2.4696874529736936,1.5134676080970593,-0.2757989010289191,3.3043906191733766e-07,2.1767640031431192e-07
21,Southern Europe,Bosnia & Herzegovina,BIH,4.849162383430265,3.6598484737444146,1.3156154892358252,0.9039981053861437,1.086354942241283e-06,3.5684877702225356e-06
13,Southern Asia,Bangladesh,BGD,2.8390553726903964,2.3820272544204535,1.4618944743470497,0.31262729717483406,3.0270600751035054e-07,4.780857838530566e-07
10,Western Europe,Belgium,BEL,3.7564222842803647,3.194548257670514,1.4466068062446737,0.38840825591609823,6.821728459194004e-07,1.196501417564947e-06
20,Western Africa,Burkina Faso,BFA,2.4153132357238167,3.5616754373824344,1.402078734788812,-0.8176161389619024,9.84772101345249e-07,3.129514427592003e-07
19,Eastern Europe,Bulgaria,BGR,3.1321049871679474,2.521500199118521,1.7037736055810853,0.35838375829350577,3.4801131963963256e-07,6.408784382338167e-07
8,Eastern Africa,Burundi,BDI,2.6036316569066704,3.5517994518138085,1.7949181982679745,-0.5282512572562263,9.75094373493987e-07,3.7780057035235645e-07
20,Western Africa,Benin,BEN,2.170437657217848,3.5616754373824344,1.402078734788812,-0.9922679416246489,9.84772101345249e-07,2.449789932531676e-07
6,South-eastern Asia,Brunei,BRN,3.079198685250028,3.498435099116648,1.361600326100781,-0.30789976017939746,9.244231366751076e-07,6.078532532676516e-07
4,South America,Bolivia,BOL,-0.23880743285644135,2.7462316713391983,1.820798243713908,-1.6394123371445113,4.357054663451536e-07,2.201947689196038e-08
4,South America,Brazil,BRA,0.6545992476129814,2.7462316713391983,1.820798243713908,-1.1487447502474983,4.357054663451536e-07,5.380325974779868e-08
3,Caribbean,Bahamas,BHS,4.065985339758532,2.1271544563618785,1.4949075453842182,1.296957052215787,2.3460171914795218e-07,1.6306274323962758e-06
13,Southern Asia,Bhutan,BTN,1.119873790874574,2.3820272544204535,1.4618944743470497,-0.8633683796565523,3.0270600751035054e-07,8.567907231014416e-08
11,Southern Africa,Botswana,BWA,2.2028986571585856,3.54659190810892,1.4599338954095864,-0.9203795152474074,9.700297255608279e-07,2.5306173352374975e-07
19,Eastern Europe,Belarus,BLR,6.4495297441328985,2.521500199118521,1.7037736055810853,2.3054879663279517,3.4801131963963256e-07,1.7681329864796264e-05
5,Central America,Belize,BLZ,4.882241823806224,4.470036665962906,1.4743954443708889,0.2795757131623547,2.442485564557462e-06,3.688505463811924e-06
1,Northern America,Canada,CAN,2.477946123412809,2.536449184101779,1.4468608747446263,-0.04043447556717968,3.5325281554236527e-07,3.3317934921955633e-07
