region_index,region,country,iso3,mu_j,mu_i,sigma_i,sd,region_intercept,nation_intercept
1,Western Asia,United Arab Emirates,ARE,1.8835428570044597,2.48812817085404,1.547968687821632,-0.3905668884687704,3.370663009352061e-07,1.8413963134706245e-07
17,Caribbean,Antigua & Barbuda,ATG,2.033368476375772,2.049128752699921,1.563619584085137,-0.010079354649021195,2.1730029210908508e-07,2.1390242545052556e-07
13,Southern Europe,Albania,ALB,4.4816312303037185,3.5201070223507007,1.4837838736299358,0.648021740255702,9.460150719119833e-07,2.474472965591117e-06
1,Western Asia,Armenia,ARM,4.280932152647036,2.48812817085404,1.547968687821632,1.1581655339010164,3.370663009352061e-07,2.0245113291392926e-06
9,Middle Africa,Angola,AGO,2.2471934253980113,1.6066660014997514,1.5655344387283479,0.40914297894241625,1.3960506617584448e-07,2.6489801536284106e-07
19,South America,Argentina,ARG,1.6632603065019596,2.5498633833455413,2.075706241081689,-0.42713321340767196,3.5853090479698105e-07,1.4773376745796463e-07
2,Western Europe,Austria,AUT,3.043961548897907,2.955921118317816,1.6245665519777706,0.05419318185082005,5.381151642216398e-07,5.876391257237404e-07
20,Australia and New Zealand,Australia,AUS,2.0451665089932076,2.798644499076622,1.5213901646803745,-0.495256251536049,4.5980200729598884e-07,2.1644099888299444e-07
17,Caribbean,Aruba,ABW,1.1250063906370877,2.049128752699921,1.563619584085137,-0.5910148296099341,2.1730029210908508e-07,8.624204928547433e-08
1,Western Asia,Azerbaijan,AZE,2.0535333821848765,2.48812817085404,1.547968687821632,-0.28075166641822963,3.370663009352061e-07,2.182595303765473e-07
13,Southern Europe,Bosnia & Herzegovina,BIH,5.201654215443845,3.5201070223507007,1.4837838736299358,1.1332831034073714,9.460150719119833e-07,5.083756288858625e-06
17,Caribbean,Barbados,BRB,1.5107826141118583,2.049128752699921,1.563619584085137,-0.344294829808649,2.1730029210908508e-07,1.2684096947602792e-07
6,Southern Asia,Bangladesh,BGD,3.2968636002417213,2.4495913905943447,1.6714312954573955,0.5069141710760635,3.24323952420659e-07,7.567364778820723e-07
2,Western Europe,Belgium,BEL,3.467910902594615,2.955921118317816,1.6245665519777706,0.3151546999742763,5.381151642216398e-07,8.979033023887067e-07
12,Western Africa,Burkina Faso,BFA,1.9060342498171994,3.2052041315449626,1.5367204784008088,-0.8454171724709147,6.904583209679545e-07,1.88328113967074e-07
5,Eastern Europe,Bulgaria,BGR,2.68487680198559,2.2969793570331776,1.7295419111848302,0.22427756300318943,2.7842001974017327e-07,4.103573152670646e-07
1,Western Asia,Bahrain,BHR,2.6404930882454485,2.48812817085404,1.547968687821632,0.09842894019117596,3.370663009352061e-07,3.9254240400689726e-07
4,Eastern Africa,Burundi,BDI,1.6070602590248018,2.9488704675853565,1.9934876567929591,-0.6730968230418862,5.343344460686203e-07,1.3966011737518117e-07
12,Western Africa,Benin,BEN,1.7293668546807035,3.2052041315449626,1.5367204784008088,-0.9603810827067861,6.904583209679545e-07,1.5782997302651132e-07
3,Northern America,Bermuda,BMU,0.48598448931483884,1.8327754384907187,1.5819462311490144,-0.8513506481175821,1.7502466683242346e-07,4.551927980303799e-08
8,South-eastern Asia,Brunei,BRN,3.0518171475435283,3.5537851704461008,1.5496648644807491,-0.3239203742744522,9.784176748588643e-07,5.922735621474054e-07
19,South America,Bolivia,BOL,-1.4649714095843904,2.5498633833455413,2.075706241081689,-1.9342018217557253,3.5853090479698105e-07,6.470025625978655e-09
19,South America,Brazil,BRA,0.4061453168334336,2.5498633833455413,2.075706241081689,-1.0327656313231377,3.5853090479698105e-07,4.2026349711984235e-08
17,Caribbean,Bahamas,BHS,4.085752482492888,2.049128752699921,1.563619584085137,1.3025058975483357,2.1730029210908508e-07,1.6655388127430964e-06
6,Southern Asia,Bhutan,BTN,1.1147741165666198,2.4495913905943447,1.6714312954573955,-0.7986073239477339,3.24323952420659e-07,8.536409638820364e-08
0,Southern Africa,Botswana,BWA,1.5423056167017801,3.105633917639703,1.5886801746210626,-0.9840421791068258,6.250210920629196e-07,1.3090306605606277e-07
5,Eastern Europe,Belarus,BLR,6.243162245862461,2.2969793570331776,1.7295419111848302,2.281634728426982,2.7842001974017327e-07,1.4404756228722068e-05
10,Central America,Belize,BLZ,4.908401490953444,4.291550978827859,1.5679690332935998,0.39340733077480405,2.0461238095469847e-06,3.791636388927613e-06
3,Northern America,Canada,CAN,2.0748334641376336,1.8327754384907187,1.5819462311490144,0.15301280212988086,1.7502466683242346e-07,2.2295834113736947e-07
