region_index,region,country,iso3,mu_j,mu_i,sigma_i,sd,region_intercept,nation_intercept
10,Western Asia,United Arab Emirates,ARE,1.2990684442109104,1.6469881704540072,1.0372809526412197,-0.33541513064246653,4.79678049714983,3.3872732167180417
6,Caribbean,Antigua & Barbuda,ATG,3.866928878460026,4.403517180022334,0.8861501542939034,-0.6055275158078244,75.52577378848957,44.16292654266507
8,Southern Europe,Albania,ALB,1.7738577114252099,1.8287559975077257,0.8433977413835076,-0.06509181064732374,5.752950134858136,5.44563572833478
15,Middle Africa,Angola,AGO,1.5923501772230813,1.8723507099007024,0.952904945204003,-0.29383889136778185,6.009295392925914,4.541725336302109
1,South America,Argentina,ARG,1.4671750556251564,2.3784112874424252,0.9582263891913563,-0.9509613198883593,9.967881561494572,4.007356705515325
18,Australia and New Zealand,Australia,AUS,3.4873418492605626,2.5535543313094795,0.9395272429430955,0.9938908370830923,11.875899850916063,30.213796019888747
6,Caribbean,Barbados,BRB,4.989229216327599,4.403517180022334,0.8861501542939034,0.6609625168682263,75.52577378848957,135.66464690521929
3,Southern Asia,Bangladesh,BGD,4.258431213324011,3.5038054384226442,0.9390470430708081,0.8036080625243655,30.715340829853425,65.32586194142127
2,Western Europe,Belgium,BEL,-0.024539424388320047,0.8537923554891121,0.9294796022980117,-0.9449715493550116,2.1700476984181694,0.9016015187715415
7,Eastern Europe,Bulgaria,BGR,1.778856638501333,2.2297928095418653,0.9235819715004661,-0.48824704785860457,8.591296038464828,5.47292621897939
10,Western Asia,Bahrain,BHR,3.7733058172808214,1.6469881704540072,1.0372809526412197,2.0498955865453707,4.79678049714983,40.215906841758496
9,Western Africa,Benin,BEN,2.868752453989211,2.822614349133058,0.9099993521330159,0.05070125022397663,15.542390186894133,16.276286728831174
19,South-eastern Asia,Brunei,BRN,1.7253835439744951,2.684439125313561,0.9096749157160516,-1.0542838598381536,13.536583618699984,5.187958860256151
1,South America,Brazil,BRA,3.9469984177904776,2.3784112874424252,0.9582263891913563,1.6369692465595498,9.967881561494572,47.84445414997716
