region_index,region,country,iso3,mu_j,mu_i,sigma_i,sd,region_intercept,nation_intercept
1,Western Asia,United Arab Emirates,ARE,4.1860788613793325,4.072496282095884,0.37720146942013455,0.3011191325899589,7.516360392199456,8.420461272281761
7,Southern Asia,Afghanistan,AFG,1.9254458596511592,4.300915599093533,1.129062258301761,-2.103931578596341,9.44514967086606,0.8781231861616996
11,Southern Europe,Albania,ALB,3.3325615063107,4.080396442751543,0.4391704454782649,-1.7028352980957926,7.5759760233121085,3.5863940492969384
1,Western Asia,Armenia,ARM,4.1239497020858655,4.072496282095884,0.37720146942013455,0.1364083233002256,7.516360392199456,7.913225316106332
9,Middle Africa,Angola,AGO,5.274891351551193,4.961146798724572,0.4151939002659111,0.7556579049588227,18.278628704195253,25.0150363947683
14,South America,Argentina,ARG,3.4816785270045973,4.02687410870309,0.5644960134074221,-0.9658094455044467,7.181152295405574,4.163117844114619
20,Western Europe,Austria,AUT,3.982971855105309,4.131039867085978,0.3488587934517008,-0.42443537259200165,7.969530760852661,6.872703857549534
17,Australia and New Zealand,Australia,AUS,4.181625089445479,4.36228373964925,0.42348365806492433,-0.42660123186164184,10.042935861024656,8.383041848840673
1,Western Asia,Azerbaijan,AZE,3.6233097144412927,4.072496282095884,0.37720146942013455,-1.1908399199640392,7.516360392199456,4.796543060633542
11,Southern Europe,Bosnia & Herzegovina,BIH,3.6115775929210665,4.080396442751543,0.4391704454782649,-1.067510017255201,7.5759760233121085,4.740598251914308
7,Southern Asia,Bangladesh,BGD,5.700794646877119,4.300915599093533,1.129062258301761,1.2398599257840437,9.44514967086606,38.29733820405493
20,Western Europe,Belgium,BEL,4.12248076716135,4.131039867085978,0.3488587934517008,-0.024534568384937866,7.969530760852661,7.901609836354506
6,Western Africa,Burkina Faso,BFA,4.7524192150473255,4.692389238683319,0.5042025690740259,0.11905924333993857,13.970877535230787,14.83523305389848
12,Eastern Europe,Bulgaria,BGR,4.03964243044066,4.287556393575051,0.4590285099983258,-0.5400840203483126,9.31980906482372,7.273431429510921
6,Western Africa,Benin,BEN,4.884996830950326,4.692389238683319,0.5042025690740259,0.3820043849057211,13.970877535230787,16.93838891376045
14,South America,Bolivia,BOL,3.1850918194652085,4.02687410870309,0.5644960134074221,-1.4912103349617987,7.181152295405574,3.0946585215977365
14,South America,Brazil,BRA,3.6631198746455667,4.02687410870309,0.5644960134074221,-0.6443876049041041,7.181152295405574,4.991346050322912
19,Caribbean,Bahamas,BHS,4.636841551868997,4.606930194704919,0.34634448573451443,0.08636302408754458,12.826533345462678,13.215987886168056
5,Southern Africa,Botswana,BWA,3.52699580558431,3.897498989551481,0.4502612199486569,-0.8228627462285546,6.309678585014902,4.356119133085913
12,Eastern Europe,Belarus,BLR,4.782502949932707,4.287556393575051,0.4590285099983258,1.0782479640740852,9.31980906482372,15.28831327421071
3,Central America,Belize,BLZ,4.154657690534352,4.120629528203682,0.41320342489030715,0.08235208200344274,7.886995599792869,8.159994042092697
13,Northern America,Canada,CAN,4.211180617830632,4.25100872337176,0.4076653175259208,-0.09769804746413409,8.985341000176481,8.634504836130773
9,Middle Africa,Central African Republic,CAF,4.6379316247561455,4.961146798724572,0.4151939002659111,-0.7784680212339905,18.278628704195253,13.230402131101123
9,Middle Africa,Congo - Brazzaville,COG,5.0800948682221065,4.961146798724572,0.4151939002659111,0.2864879985504462,18.278628704195253,20.587428376707138
20,Western Europe,Switzerland,CHE,3.9428314582391026,4.131039867085978,0.3488587934517008,-0.5394973908631954,7.969530760852661,6.602294278255706
