region_index,region,country,iso3,mu_j,mu_i,sigma_i,sd,region_intercept,nation_intercept
4,Western Asia,United Arab Emirates,ARE,1.7867407932785144,1.9824041576421867,0.5178187074149982,-0.3778607484855906,2.029863967005767e-07,1.669134811304929e-07
5,Southern Europe,Albania,ALB,3.4362478022063945,3.273299973423584,0.4480959018781223,0.36364498782479504,7.380671290606777e-07,8.686867687291375e-07
4,Western Asia,Armenia,ARM,2.345517615274794,1.9824041576421867,0.5178187074149982,0.7012366537418185,2.029863967005767e-07,2.9185363397889814e-07
3,Middle Africa,Angola,AGO,1.6922371485570677,1.4457135205900369,0.48211342139094837,0.5113394836754057,1.1868208083402276e-07,1.518619609199464e-07
19,South America,Argentina,ARG,2.021555221283947,2.0810175907445436,0.6574019818780694,-0.0904505479139632,2.2402382293122703e-07,2.1109114966112023e-07
8,Western Europe,Austria,AUT,2.691288305308843,2.648213606654011,0.508036851920409,0.08478656320305734,3.9502474735926703e-07,4.124121086513028e-07
1,Australia and New Zealand,Australia,AUS,2.341413583037977,2.52019140176984,0.478619771306417,-0.3735278595864935,3.4755614128026716e-07,2.9065831175482907e-07
4,Western Asia,Azerbaijan,AZE,1.9208290481959518,1.9824041576421867,0.5178187074149982,-0.1189124853244949,2.029863967005767e-07,1.9086451981564253e-07
5,Southern Europe,Bosnia & Herzegovina,BIH,3.5384634385749685,3.273299973423584,0.4480959018781223,0.5917560594506535,7.380671290606777e-07,9.62176827747911e-07
20,Southern Asia,Bangladesh,BGD,2.096190308654206,1.986201952413587,0.4797582679045701,0.22925786505152476,2.03758763092819e-07,2.2744879052993139e-07
8,Western Europe,Belgium,BEL,2.841021612699481,2.648213606654011,0.508036851920409,0.37951578771627337,3.9502474735926703e-07,4.790267400187205e-07
2,Western Africa,Burkina Faso,BFA,2.6919775085608473,2.965269305850962,0.49826209497230134,-0.5484900417827433,5.424002045129398e-07,4.1269644238836434e-07
6,Eastern Europe,Bulgaria,BGR,1.9402695592773058,1.7132427586781125,0.49691304301386635,0.4568743038464743,1.5508565334321288e-07,1.9461132553433854e-07
0,Eastern Africa,Burundi,BDI,2.818825803862545,3.033468910940477,0.7207429446795501,-0.29780812793577127,5.806822577894315e-07,4.685114830809255e-07
2,Western Africa,Benin,BEN,2.6220024336371557,2.965269305850962,0.49826209497230134,-0.6889283284390493,5.424002045129398e-07,3.8480520355961374e-07
7,South-eastern Asia,Brunei,BRN,2.939886029822939,3.005933595985251,0.47538948862617636,-0.13893358549677357,5.649111170482437e-07,5.28805578400111e-07
19,South America,Bolivia,BOL,1.53267592320687,2.0810175907445436,0.6574019818780694,-0.8341040682158704,2.2402382293122703e-07,1.2946502028641262e-07
19,South America,Brazil,BRA,1.5801454667882568,2.0810175907445436,0.6574019818780694,-0.7618962792375416,2.2402382293122703e-07,1.3575886690959052e-07
17,Caribbean,Bahamas,BHS,1.98147087845028,1.611772269280829,0.5260260434169364,0.7028142689817777,1.4012110397880305e-07,2.0279704209439698e-07
20,Southern Asia,Bhutan,BTN,1.7248932739797205,1.986201952413587,0.4797582679045701,-0.5446673792099067,2.03758763092819e-07,1.5690304735202543e-07
14,Southern Africa,Botswana,BWA,2.7526919875965543,3.109616994956666,0.530632801157281,-0.6726403015073281,6.266272102356177e-07,4.385293732973306e-07
6,Eastern Europe,Belarus,BLR,2.0708994642672707,1.7132427586781125,0.49691304301386635,0.7197571297784948,1.5508565334321288e-07,2.2176855036396486e-07
21,Central America,Belize,BLZ,4.125129313303703,3.9701513771790444,0.5074457320137364,0.3054079014708584,1.481612328614037e-06,1.7299782603319116e-06
9,Northern America,Canada,CAN,1.902349518469269,1.890540796558335,0.5029409682185111,0.02347933983736132,1.8517023745024335e-07,1.873698228765772e-07
3,Middle Africa,Congo - Kinshasa,COD,1.3936205616608521,1.4457135205900369,0.48211342139094837,-0.10805125229430668,1.1868208083402276e-07,1.1265785227263379e-07
3,Middle Africa,Congo - Brazzaville,COG,1.5085663686683297,1.4457135205900369,0.48211342139094837,0.13036942198571386,1.1868208083402276e-07,1.2638100284824262e-07
8,Western Europe,Switzerland,CHE,2.350009812035235,2.648213606654011,0.508036851920409,-0.5869727628843229,3.9502474735926703e-07,2.9316764712105844e-07
2,Western Africa,Côte d’Ivoire,CIV,3.2915011466993214,2.965269305850962,0.49826209497230134,0.6547394315967277,5.424002045129398e-07,7.516238163167941e-07
19,South America,Chile,CHL,2.2123702132708774,2.0810175907445436,0.6574019818780694,0.19980563817450758,2.2402382293122703e-07,2.554700089868708e-07
3,Middle Africa,Cameroon,CMR,1.3605824821561958,1.4457135205900369,0.48211342139094837,-0.17657886019482508,1.1868208083402276e-07,1.0899666549620051e-07
16,Eastern Asia,China,CHN,1.671572706314063,1.4742918904212217,0.49253264503820243,0.400543634782908,1.2212275144119364e-07,1.487560199919722e-07
19,South America,Colombia,COL,2.073121400139148,2.0810175907445436,0.6574019818780694,-0.012011205963872689,2.2402382293122703e-07,2.2226185370251148e-07
21,Central America,Costa Rica,CRI,3.8910544333751735,3.9701513771790444,0.5074457320137364,-0.1558727146841581,1.481612328614037e-06,1.368936227871329e-06
4,Western Asia,Cyprus,CYP,2.2729840174999754,1.9824041576421867,0.5178187074149982,0.5611613788702069,2.029863967005767e-07,2.7143394827222693e-07
6,Eastern Europe,Czechia,CZE,1.901858534476479,1.7132427586781125,0.49691304301386635,0.3795750150858952,1.5508565334321288e-07,1.872778498732967e-07
8,Western Europe,Germany,DEU,2.361797920651801,2.648213606654011,0.508036851920409,-0.5637695078999524,3.9502474735926703e-07,2.9664398867831865e-07
0,Eastern Africa,Djibouti,DJI,2.691150058226735,3.033468910940477,0.7207429446795501,-0.4749527626190507,5.806822577894315e-07,4.123550978215368e-07
10,Northern Europe,Denmark,DNK,2.803277897618443,2.72555936771821,0.4432433446267902,0.17534054564467694,4.267908905282269e-07,4.612834464919429e-07
17,Caribbean,Dominican Republic,DOM,1.5517303856046698,1.611772269280829,0.5260260434169364,-0.11414241638330637,1.4012110397880305e-07,1.319555592342545e-07
18,Northern Africa,Algeria,DZA,1.7352465627250853,2.093161786842665,0.4690881260671903,-0.763002097534043,2.267609989284351e-07,1.585359482676834e-07
19,South America,Ecuador,ECU,2.6623045381444936,2.0810175907445436,0.6574019818780694,0.8842184286383293,2.2402382293122703e-07,4.0063041580417835e-07
10,Northern Europe,Estonia,EST,2.811917290758129,2.72555936771821,0.4432433446267902,0.19483185497716135,4.267908905282269e-07,4.65285920111522e-07
18,Northern Africa,Egypt,EGY,2.096049507877683,2.093161786842665,0.4690881260671903,0.006156030977011238,2.267609989284351e-07,2.274167678180697e-07
0,Eastern Africa,Eritrea,ERI,3.280616926201191,3.033468910940477,0.7207429446795501,0.34290729737298886,5.806822577894315e-07,7.43487336911017e-07
5,Southern Europe,Spain,ESP,3.1729182622374497,3.273299973423584,0.4480959018781223,-0.2240183647415667,7.380671290606777e-07,6.675758855731234e-07
0,Eastern Africa,Ethiopia,ETH,2.5214457294251105,3.033468910940477,0.7207429446795501,-0.7104102583245089,5.806822577894315e-07,3.479923640860048e-07
10,Northern Europe,Finland,FIN,2.4462429922197924,2.72555936771821,0.4432433446267902,-0.6301648493641828,4.267908905282269e-07,3.227822024772027e-07
15,Melanesia,Fiji,FJI,4.646493610418569,4.462349418991006,0.48982499720639605,0.3759387382795621,2.4237815580634756e-06,2.9138439055440864e-06
8,Western Europe,France,FRA,2.453056592328963,2.648213606654011,0.508036851920409,-0.38413948434516776,3.9502474735926703e-07,3.249890209789826e-07
3,Middle Africa,Gabon,GAB,1.6429590355537553,1.4457135205900369,0.48211342139094837,0.4091267867935396,1.1868208083402276e-07,1.445598839323622e-07
10,Northern Europe,United Kingdom,GBR,2.549384294493878,2.72555936771821,0.4432433446267902,-0.3974680620927791,4.267908905282269e-07,3.5785186015791126e-07
4,Western Asia,Georgia,GEO,1.9762810639830788,1.9824041576421867,0.5178187074149982,-0.011824782634206067,2.029863967005767e-07,2.017472894383745e-07
2,Western Africa,Ghana,GHA,2.9135613551568937,2.965269305850962,0.49826209497230134,-0.10377660916980405,5.424002045129398e-07,5.15066574397586e-07
2,Western Africa,Gambia,GMB,3.157435312801101,2.965269305850962,0.49826209497230134,0.3856725383872951,5.424002045129398e-07,6.573194467438782e-07
2,Western Africa,Guinea,GIN,3.05603526836555,2.965269305850962,0.49826209497230134,0.18216509630264674,5.424002045129398e-07,5.93935113101273e-07
3,Middle Africa,Equatorial Guinea,GNQ,1.1101916522725601,1.4457135205900369,0.48211342139094837,-0.6959396968237486,1.1868208083402276e-07,8.485351866833881e-08
5,Southern Europe,Greece,GRC,3.4043605794417546,3.273299973423584,0.4480959018781223,0.29248338462559226,7.380671290606777e-07,8.414237413718887e-07
21,Central America,Guatemala,GTM,4.250170403034925,3.9701513771790444,0.5074457320137364,0.5518206345822626,1.481612328614037e-06,1.960402740301115e-06
2,Western Africa,Guinea-Bissau,GNB,3.2633969757303394,2.965269305850962,0.49826209497230134,0.5983350387027743,5.424002045129398e-07,7.307941236999385e-07
19,South America,Guyana,GUY,2.593651990179502,2.0810175907445436,0.6574019818780694,0.7797883388949659,2.2402382293122703e-07,3.7404899743068524e-07
21,Central America,Honduras,HND,4.4240236613651405,3.9701513771790444,0.5074457320137364,0.8944252666880442,1.481612328614037e-06,2.332645870878926e-06
5,Southern Europe,Croatia,HRV,3.2570746533944117,3.273299973423584,0.4480959018781223,-0.03620948096415655,7.380671290606777e-07,7.261883825204932e-07
17,Caribbean,Haiti,HTI,1.870838807659636,1.611772269280829,0.5260260434169364,0.4924975514443625,1.4012110397880305e-07,1.815577192391599e-07
6,Eastern Europe,Hungary,HUN,1.4741855459561415,1.7132427586781125,0.49691304301386635,-0.48108460038007117,1.5508565334321288e-07,1.22109765053045e-07
7,South-eastern Asia,Indonesia,IDN,2.8763743992380224,3.005933595985251,0.47538948862617636,-0.2725327333627856,5.649111170482437e-07,4.962645775894467e-07
10,Northern Europe,Ireland,IRL,2.6121796086135456,2.72555936771821,0.4432433446267902,-0.2557957394715764,4.267908905282269e-07,3.81043833261857e-07
